sourceIdentity,recoveryType,observedAt,amountAtRiskMinor,currency,actionAvailable,expectedProofEvent
synthetic-account-0034,ActivationMissed,2026-01-06T12:00:00.000Z,1000000,ILS,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0035,ActivationMissed,2026-01-07T12:00:00.000Z,10002,JPY,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0036,ActivationMissed,2026-01-08T12:00:00.000Z,10000,USD,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0037,ActivationMissed,2026-01-09T12:00:00.000Z,10001,EUR,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0038,ActivationMissed,2026-01-10T12:00:00.000Z,50000,GBP,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0039,ActivationMissed,2026-01-11T12:00:00.000Z,750000,ILS,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0040,ActivationMissed,2026-01-12T12:00:00.000Z,25000,JPY,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0041,ActivationMissed,2026-01-13T12:00:00.000Z,1000000,USD,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0042,ActivationMissed,2026-01-14T12:00:00.000Z,10002,EUR,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0043,ActivationMissed,2026-01-15T12:00:00.000Z,10000,GBP,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0044,ActivationMissed,2026-01-16T12:00:00.000Z,10001,ILS,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0045,ActivationMissed,2026-01-17T12:00:00.000Z,50000,JPY,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0046,ActivationMissed,2026-01-18T12:00:00.000Z,750000,USD,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0047,ActivationMissed,2026-01-19T12:00:00.000Z,25000,EUR,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0048,ActivationMissed,2026-01-20T12:00:00.000Z,1000000,GBP,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0049,ActivationMissed,2026-01-21T12:00:00.000Z,10002,ILS,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0050,ActivationMissed,2026-01-22T12:00:00.000Z,10000,JPY,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0051,ActivationMissed,2026-01-23T12:00:00.000Z,10001,USD,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0052,ActivationMissed,2026-01-24T12:00:00.000Z,50000,EUR,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0053,ActivationMissed,2026-01-25T12:00:00.000Z,750000,GBP,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0054,ActivationMissed,2026-01-26T12:00:00.000Z,25000,ILS,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0055,ActivationMissed,2026-01-27T12:00:00.000Z,1000000,JPY,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0056,ActivationMissed,2026-01-28T12:00:00.000Z,10002,USD,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0057,ActivationMissed,2026-01-01T12:00:00.000Z,10000,EUR,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0058,ActivationMissed,2026-01-02T12:00:00.000Z,10001,GBP,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0059,ActivationMissed,2026-01-03T12:00:00.000Z,50000,ILS,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0060,ActivationMissed,2026-01-04T12:00:00.000Z,750000,JPY,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0061,ActivationMissed,2026-01-05T12:00:00.000Z,25000,USD,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0062,ActivationMissed,2026-01-06T12:00:00.000Z,1000000,EUR,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0063,ActivationMissed,2026-01-07T12:00:00.000Z,10002,GBP,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0064,ActivationMissed,2026-01-08T12:00:00.000Z,10000,ILS,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0065,ActivationMissed,2026-01-09T12:00:00.000Z,10001,JPY,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0066,ActivationMissed,2026-01-10T12:00:00.000Z,50000,USD,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0067,ActivationMissed,2026-01-11T12:00:00.000Z,750000,EUR,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0068,ActivationMissed,2026-01-12T12:00:00.000Z,25000,GBP,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-system-a|synthetic-account-0069,ActivationMissed,2026-01-13T12:00:00.000Z,1000000,ILS,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-system-b|synthetic-account-0069,ActivationMissed,2026-01-14T12:00:00.000Z,10002,JPY,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0071,ActivationMissed,2026-02-01T09:30:00.000Z,9999,USD,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0072,ActivationMissed,2026-02-02T09:30:00.000Z,0,EUR,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0073,ActivationMissed,2026-02-03T09:30:00.000Z,1,GBP,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0074,ActivationMissed,2026-02-04T09:30:00.000Z,9998,ILS,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0075,ActivationMissed,2026-02-05T09:30:00.000Z,100,JPY,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0076,ActivationMissed,2026-02-06T09:30:00.000Z,999,USD,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0077,ActivationMissed,2026-02-07T09:30:00.000Z,2500,EUR,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0078,ActivationMissed,2026-02-08T09:30:00.000Z,5000,GBP,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0079,ActivationMissed,2026-02-09T09:30:00.000Z,7500,ILS,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0080,ActivationMissed,2026-02-10T09:30:00.000Z,9900,JPY,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0081,ActivationMissed,2026-02-11T09:30:00.000Z,9950,USD,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0082,ActivationMissed,2026-02-12T09:30:00.000Z,9990,EUR,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0083,ActivationMissed,2026-02-13T09:30:00.000Z,9995,GBP,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0084,ActivationMissed,2026-02-14T09:30:00.000Z,9996,ILS,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0085,ActivationMissed,2026-02-15T09:30:00.000Z,9997,JPY,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0086,ActivationMissed,2026-02-16T09:30:00.000Z,1000000,USD,false,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0087,ActivationMissed,2026-02-17T09:30:00.000Z,5000000,EUR,false,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0088,ActivationMissed,2026-02-18T09:30:00.000Z,10000,GBP,false,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0089,ActivationMissed,2026-02-19T09:30:00.000Z,10001,ILS,false,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0090,ActivationMissed,2026-02-20T09:30:00.000Z,20000,JPY,false,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0001,ActivationMissed,2026-01-01T12:00:00.000Z,10000,USD,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0002,ActivationMissed,2026-01-02T12:00:00.000Z,10001,EUR,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-account-0003,ActivationMissed,2026-03-01T14:00:00.000Z,50007,GBP,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
  synthetic-account-0004  ,ActivationMissed,2026-01-04T12:00:00.000Z,750000,ILS,true,"SYNTHETIC activation completed, resource ""synthetic-shared-resource"""
synthetic-system-a|synthetic-account-0069,ActivationMissed,2026-01-13T12:00:00.000Z,1000000,ILS,true,"SYNTHETIC activation completed, alternate fictional observation"
